Intials,Date,Course ID,Time(m),Summary
LH,1/9/23,Chem-109,15,Took notes on recorded lecture
LH,1/10/23,ENG-101,10,Read the assigned reading
LH,1/10/23,BUSA-245,5,Skimmed assigned reading
LH,1/13/23,PHIL-301,50,Watched recorded lecture
LH,1/15/23,Chem-109,40,Did the online lab
LH,1/17/23,ENG-101,10,Read the assigned reading
LH,1/18/23,DS-160,15,looked over in class notbook
LH,1/19/23,Chem-109,25,did chem lab
LH,1/20/23,DS-160,25,did in class project while traveling
LH,1/20/23,BUSA-245,20,read chapter for class
LH,1/21/23,PHIL-301,10,watched video on ethics
LH,1/22/23,ENG-101,10,read chapter for class
LH,1/23/23,DS-160,15,did indivual project
LH,1/24/23,Chem-109,30,watched online lectures
LH,1/25/23,Chem-109,120,took my test online
LH,1/26/23,Phil-301,45,wathed lectures
LH,1/27/23,ENG-101,25,worked on my paper
LH,1/27/23,DS-160,25,finished in class notebook
LH,1/29/23,Chem-109,15,did online lab
LH,1/30/23,chem-109,25,wathed lectures
LH,1/30/23,ENG-101,15,did reading for class
LH,2/1/23,BUSA-245,25,did reading for class
LH,2/2/23,Busa-245,15,did lab for class
LH,2/3/23,Chem-109,15,did online lab
LH,2/4/23,Eng-101,120,wrote an essay
LH,2/5/23,Eng-101,10,did reading for class
LH,2/6/23,BUSA-245,15,prepared my discussion for class
LH,2/7/23,Chem-109,15,Did the online lab
LH,2/8/23,PHIL-301,30,watched online lectures
LH,2/9/23,Chem-109,45,watched online lectures
LH,2/10/23,DS-160,50,Finished practice notebook
LH,2/10/23,BUSA-245,30,Finished lab for class
LH,2/10/23,ENG-101,25,did reading for class
LH,2/11/23,Chem-109,25,watched online lectures
LH,2/12/23,PHIL-301,30,watched online lectures
LH,2/12/23,Chem-109,20,watched online lectures
LH,2/13/23,Chem-109,20,did online lab
,,,,
